order,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9,epoch 10,epoch 11,epoch 12,epoch 13,epoch 14,epoch 15,epoch 16,epoch 17,epoch 18,epoch 19,epoch 20,epoch 21,epoch 22,epoch 23,epoch 24,epoch 25,epoch 26,epoch 27,epoch 28,epoch 29,epoch 30,epoch 31,epoch 32,epoch 33,epoch 34,epoch 35,epoch 36,epoch 37,epoch 38,epoch 39,epoch 40
online_is,0.3614,0.4101,0.4367,0.4661,0.4644,0.4913,0.5003,0.5035,0.5044,0.5089,0.5249,0.5382,0.5208,0.5463,0.543,0.5464,0.5583,0.5569,0.5637,0.5609,0.5669,0.5692,0.5806,0.5776,0.5858,0.5761,0.579,0.5933,0.5934,0.6,0.5994,0.5824,0.6041,0.6082,0.5982,0.606,0.599,0.6129,0.6153,0.6059
fl_gc_fl_dm_dm_ds,0.3738,0.4139,0.4397,0.4613,0.4699,0.4852,0.4909,0.5054,0.497,0.5153,0.5126,0.509,0.5134,0.5382,0.5429,0.5454,0.5387,0.5454,0.5613,0.554,0.5675,0.5744,0.5765,0.5703,0.5793,0.5762,0.5913,0.5878,0.5864,0.5933,0.5945,0.5907,0.6042,0.6072,0.6019,0.6042,0.6081,0.611,0.5991,0.6083
fl_gc_dm_ds_fl_dm,0.3608,0.41,0.4645,0.4677,0.4922,0.487,0.5086,0.5091,0.5202,0.5197,0.5325,0.5442,0.5517,0.5482,0.5578,0.5547,0.5567,0.568,0.575,0.5599,0.5735,0.583,0.5851,0.5806,0.5846,0.5884,0.5825,0.5954,0.6025,0.6022,0.6068,0.593,0.617,0.6002,0.6137,0.6082,0.6125,0.6084,0.6139,0.6134
fl_dm_fl_gc_dm_ds,0.3344,0.3989,0.4324,0.4556,0.4572,0.4816,0.4962,0.5026,0.5129,0.514,0.5339,0.5319,0.5323,0.5441,0.5517,0.5471,0.5662,0.5638,0.5649,0.5759,0.5739,0.5716,0.5885,0.5874,0.5884,0.5935,0.5877,0.5897,0.5911,0.5981,0.5988,0.6093,0.6125,0.6101,0.6141,0.6041,0.6097,0.6191,0.6145,0.624
fl_dm_dm_ds_fl_gc,0.345,0.4119,0.4317,0.4714,0.4821,0.4826,0.4965,0.5035,0.5155,0.5231,0.5245,0.5277,0.5181,0.5423,0.5428,0.545,0.5503,0.5429,0.5408,0.5592,0.5615,0.5578,0.5605,0.5545,0.5667,0.5733,0.5692,0.5777,0.5782,0.5792,0.5733,0.5725,0.5794,0.5919,0.5965,0.5983,0.5885,0.5989,0.5967,0.598
dm_ds_fl_dm_fl_gc,0.3542,0.4283,0.4579,0.4586,0.4902,0.4733,0.5086,0.5159,0.5162,0.525,0.5343,0.5401,0.5395,0.5408,0.5435,0.5488,0.5463,0.5585,0.5547,0.5739,0.5691,0.5667,0.5775,0.5789,0.5843,0.5945,0.5881,0.5853,0.5982,0.5975,0.6042,0.5949,0.6101,0.6034,0.6187,0.6013,0.6087,0.6233,0.6218,0.6254
dm_ds_fl_gc_fl_dm,0.3388,0.407,0.413,0.467,0.4775,0.4849,0.5054,0.5115,0.5164,0.5278,0.5197,0.5408,0.5445,0.5536,0.5521,0.5529,0.5621,0.5613,0.5673,0.5764,0.5816,0.5763,0.5858,0.5887,0.5969,0.5899,0.5934,0.6006,0.5945,0.6055,0.5983,0.6093,0.6121,0.6107,0.6109,0.6195,0.6179,0.6108,0.6189,0.6064
