order,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9,epoch 10,epoch 11,epoch 12,epoch 13,epoch 14,epoch 15,epoch 16,epoch 17,epoch 18,epoch 19,epoch 20,epoch 21,epoch 22,epoch 23,epoch 24,epoch 25,epoch 26,epoch 27,epoch 28,epoch 29,epoch 30,epoch 31,epoch 32,epoch 33,epoch 34,epoch 35,epoch 36,epoch 37,epoch 38,epoch 39,epoch 40
online_is_r_1,0.3423,0.3985,0.4354,0.4514,0.4761,0.4907,0.4868,0.5106,0.5181,0.5217,0.531,0.5386,0.5435,0.5318,0.5586,0.5636,0.559,0.5652,0.5799,0.5754,0.5792,0.5838,0.5817,0.5969,0.5972,0.593,0.5982,0.6074,0.604,0.6125,0.6112,0.602,0.6145,0.6106,0.614,0.6198,0.6244,0.6231,0.6099,0.6193
fl_gc_fl_dm_dm_ds,0.3714,0.421,0.4533,0.4519,0.4766,0.4803,0.5029,0.5039,0.5189,0.52,0.5207,0.5204,0.531,0.5397,0.5461,0.5494,0.5573,0.5537,0.5534,0.5455,0.5673,0.5585,0.5769,0.5813,0.5794,0.5754,0.5733,0.5709,0.5876,0.5847,0.5962,0.5921,0.6016,0.5901,0.6004,0.5898,0.6026,0.6034,0.598,0.6001
fl_gc_dm_ds_fl_dm,0.3662,0.4162,0.4252,0.4551,0.4682,0.4821,0.4898,0.4946,0.5044,0.5263,0.5262,0.5321,0.5331,0.5372,0.5337,0.552,0.5509,0.5584,0.5586,0.5651,0.5699,0.5632,0.589,0.584,0.5788,0.5861,0.5862,0.5894,0.5981,0.5822,0.605,0.6074,0.6033,0.6046,0.6094,0.6184,0.6121,0.6182,0.6095,0.6067
fl_dm_fl_gc_dm_ds,0.3739,0.4274,0.4342,0.4669,0.4846,0.4745,0.4924,0.5101,0.5101,0.5153,0.5146,0.5164,0.5312,0.5434,0.5495,0.5451,0.5382,0.5525,0.5512,0.5598,0.5715,0.5648,0.5664,0.5801,0.5754,0.5779,0.5775,0.5892,0.5905,0.5913,0.5967,0.5919,0.5991,0.5965,0.6004,0.5948,0.6055,0.593,0.6054,0.6056
fl_dm_dm_ds_fl_gc,0.3619,0.4311,0.4308,0.4636,0.4807,0.4889,0.4947,0.499,0.5089,0.5209,0.5078,0.5222,0.5322,0.5338,0.5328,0.544,0.5398,0.5551,0.5627,0.546,0.5649,0.5626,0.5615,0.5736,0.5704,0.5673,0.5733,0.5779,0.5709,0.579,0.5609,0.587,0.594,0.5869,0.5868,0.5893,0.5978,0.5917,0.5988,0.5976
dm_ds_fl_dm_fl_gc,0.3808,0.4181,0.4412,0.4771,0.4662,0.4571,0.4888,0.4773,0.5011,0.511,0.5207,0.5244,0.5222,0.544,0.5396,0.5451,0.532,0.5427,0.5583,0.5555,0.552,0.5646,0.5549,0.5744,0.5804,0.5779,0.572,0.5791,0.5834,0.5756,0.588,0.5872,0.5878,0.6012,0.5979,0.5857,0.6014,0.5969,0.6055,0.5986
dm_ds_fl_gc_fl_dm,0.3672,0.4242,0.4528,0.4571,0.4689,0.4889,0.4854,0.5078,0.5141,0.4964,0.5233,0.5247,0.53,0.5487,0.5479,0.5535,0.5542,0.5585,0.5556,0.5675,0.5771,0.5774,0.5847,0.5787,0.5863,0.5906,0.5776,0.5939,0.6011,0.5931,0.5993,0.6092,0.6026,0.604,0.6034,0.6095,0.614,0.6065,0.61,0.6089
